type;report;benchmark;time
host;1;blowfish;0.164
host;1;cryptohash;4449.134
host;1;fibonacci;1.144
host;1;nqueens;0.440
host;1;fft;0.655
host;1;raytracing;6.692
host;2;blowfish;0.173
host;2;cryptohash;4850.973
host;2;fibonacci;1.145
host;2;nqueens;0.417
host;2;fft;0.655
host;2;raytracing;5.521
host;3;blowfish;0.172
host;3;cryptohash;5149.705
host;3;fibonacci;1.146
host;3;nqueens;0.416
host;3;fft;0.645
host;3;raytracing;6.284
host;4;blowfish;0.156
host;4;cryptohash;4822.033
host;4;fibonacci;1.144
host;4;nqueens;0.440
host;4;fft;0.658
host;4;raytracing;6.530
host;5;blowfish;0.188
host;5;cryptohash;4395.295
host;5;fibonacci;1.192
host;5;nqueens;0.417
host;5;fft;0.664
host;5;raytracing;5.923
host;6;blowfish;0.175
host;6;cryptohash;3805.760
host;6;fibonacci;1.148
host;6;nqueens;0.416
host;6;fft;0.650
host;6;raytracing;6.443
host;7;blowfish;0.218
host;7;cryptohash;4512.583
host;7;fibonacci;1.145
host;7;nqueens;0.425
host;7;fft;0.710
host;7;raytracing;6.211
host;8;blowfish;0.182
host;8;cryptohash;4646.383
host;8;fibonacci;1.144
host;8;nqueens;0.417
host;8;fft;0.704
host;8;raytracing;5.945
host;9;blowfish;0.170
host;9;cryptohash;4421.267
host;9;fibonacci;1.145
host;9;nqueens;0.417
host;9;fft;0.648
host;9;raytracing;6.476
host;10;blowfish;0.227
host;10;cryptohash;4780.950
host;10;fibonacci;1.147
host;10;nqueens;0.417
host;10;fft;0.652
host;10;raytracing;6.339
docker;1;blowfish;0.236
docker;1;cryptohash;3282.759
docker;1;fibonacci;1.251
docker;1;nqueens;0.422
docker;1;fft;0.951
docker;1;raytracing;6.663
docker;2;blowfish;0.214
docker;2;cryptohash;3141.519
docker;2;fibonacci;1.272
docker;2;nqueens;0.437
docker;2;fft;1.010
docker;2;raytracing;6.720
docker;3;blowfish;0.181
docker;3;cryptohash;2952.504
docker;3;fibonacci;1.248
docker;3;nqueens;0.418
docker;3;fft;0.950
docker;3;raytracing;6.115
docker;4;blowfish;0.201
docker;4;cryptohash;3254.135
docker;4;fibonacci;1.249
docker;4;nqueens;0.418
docker;4;fft;0.949
docker;4;raytracing;6.459
docker;5;blowfish;0.240
docker;5;cryptohash;3296.181
docker;5;fibonacci;1.249
docker;5;nqueens;0.420
docker;5;fft;0.951
docker;5;raytracing;6.498
docker;6;blowfish;0.210
docker;6;cryptohash;3186.177
docker;6;fibonacci;1.249
docker;6;nqueens;0.417
docker;6;fft;0.978
docker;6;raytracing;5.886
docker;7;blowfish;0.178
docker;7;cryptohash;3107.817
docker;7;fibonacci;1.249
docker;7;nqueens;0.412
docker;7;fft;0.952
docker;7;raytracing;7.015
docker;8;blowfish;0.189
docker;8;cryptohash;3050.867
docker;8;fibonacci;1.250
docker;8;nqueens;0.422
docker;8;fft;0.950
docker;8;raytracing;6.861
docker;9;blowfish;0.211
docker;9;cryptohash;2897.985
docker;9;fibonacci;1.273
docker;9;nqueens;0.418
docker;9;fft;0.950
docker;9;raytracing;6.067
docker;10;blowfish;0.228
docker;10;cryptohash;3045.953
docker;10;fibonacci;1.270
docker;10;nqueens;0.418
docker;10;fft;0.992
docker;10;raytracing;6.468
vm;1;blowfish;0.126
vm;1;cryptohash;3320.421
vm;1;fibonacci;1.149
vm;1;nqueens;0.418
vm;1;fft;0.655
vm;1;raytracing;6.431
vm;2;blowfish;0.125
vm;2;cryptohash;5784.097
vm;2;fibonacci;1.147
vm;2;nqueens;0.417
vm;2;fft;0.653
vm;2;raytracing;6.452
vm;3;blowfish;0.122
vm;3;cryptohash;5523.688
vm;3;fibonacci;1.147
vm;3;nqueens;0.417
vm;3;fft;0.646
vm;3;raytracing;6.538
vm;4;blowfish;0.122
vm;4;cryptohash;5726.977
vm;4;fibonacci;1.145
vm;4;nqueens;0.417
vm;4;fft;0.624
vm;4;raytracing;6.135
vm;5;blowfish;0.124
vm;5;cryptohash;5830.141
vm;5;fibonacci;1.146
vm;5;nqueens;0.416
vm;5;fft;0.632
vm;5;raytracing;6.167
vm;6;blowfish;0.132
vm;6;cryptohash;5894.355
vm;6;fibonacci;1.157
vm;6;nqueens;0.417
vm;6;fft;0.706
vm;6;raytracing;5.913
vm;7;blowfish;0.124
vm;7;cryptohash;5673.965
vm;7;fibonacci;1.173
vm;7;nqueens;0.418
vm;7;fft;0.692
vm;7;raytracing;6.081
vm;8;blowfish;0.129
vm;8;cryptohash;5790.968
vm;8;fibonacci;1.148
vm;8;nqueens;0.417
vm;8;fft;0.666
vm;8;raytracing;6.352
vm;9;blowfish;0.127
vm;9;cryptohash;5676.649
vm;9;fibonacci;1.148
vm;9;nqueens;0.418
vm;9;fft;0.652
vm;9;raytracing;5.878
vm;10;blowfish;0.121
vm;10;cryptohash;5671.593
vm;10;fibonacci;1.146
vm;10;nqueens;0.417
vm;10;fft;0.629
vm;10;raytracing;6.334
