
Size;LDA;Align.;Time(s);GFlops;Residual;Residual(norm)
5000;10000;64;0.418;199.6892;2.363876e-11;3.296235e-02
5000;10000;64;0.416;200.6243;2.363876e-11;3.296235e-02
5000;10000;64;0.408;204.5018;2.363876e-11;3.296235e-02
5000;10000;64;0.410;203.2754;2.363876e-11;3.296235e-02
5000;10000;64;0.412;202.3169;2.363876e-11;3.296235e-02
5000;10000;64;0.409;204.0276;2.363876e-11;3.296235e-02
5000;10000;64;0.415;201.0100;2.363876e-11;3.296235e-02
5000;10000;64;0.409;203.8547;2.363876e-11;3.296235e-02
5000;10000;64;0.414;201.3031;2.363876e-11;3.296235e-02
5000;10000;64;0.409;203.7540;2.363876e-11;3.296235e-02
5000;10000;64;0.412;202.3012;2.363876e-11;3.296235e-02
5000;10000;64;0.405;206.1152;2.363876e-11;3.296235e-02
5000;10000;64;0.411;203.1121;2.363876e-11;3.296235e-02
5000;10000;64;0.411;202.9387;2.363876e-11;3.296235e-02
5000;10000;64;0.404;206.3774;2.363876e-11;3.296235e-02
5000;10000;64;0.407;204.9873;2.363876e-11;3.296235e-02
5000;10000;64;0.388;214.8956;2.363876e-11;3.296235e-02
5000;10000;64;0.405;205.7591;2.363876e-11;3.296235e-02
5000;10000;64;0.415;200.7133;2.363876e-11;3.296235e-02
5000;10000;64;0.405;205.9439;2.363876e-11;3.296235e-02
5000;10000;64;0.409;204.1163;2.363876e-11;3.296235e-02
5000;10000;64;0.407;204.8412;2.363876e-11;3.296235e-02
5000;10000;64;0.412;202.4340;2.363876e-11;3.296235e-02
5000;10000;64;0.405;205.7811;2.363876e-11;3.296235e-02
5000;10000;64;0.407;205.0228;2.363876e-11;3.296235e-02
5000;10000;64;0.408;204.6175;2.363876e-11;3.296235e-02
5000;10000;64;0.355;234.9884;2.363876e-11;3.296235e-02
5000;10000;64;0.404;206.3578;2.363876e-11;3.296235e-02
5000;10000;64;0.424;196.8299;2.363876e-11;3.296235e-02
5000;10000;64;0.413;201.9533;2.363876e-11;3.296235e-02
5000;10000;64;0.417;199.8561;2.363876e-11;3.296235e-02
5000;10000;64;0.411;202.8330;2.363876e-11;3.296235e-02
5000;10000;64;0.423;197.1073;2.363876e-11;3.296235e-02
5000;10000;64;0.420;198.2968;2.363876e-11;3.296235e-02
5000;10000;64;0.420;198.4570;2.363876e-11;3.296235e-02
5000;10000;64;0.419;199.1023;2.363876e-11;3.296235e-02
5000;10000;64;0.416;200.4360;2.363876e-11;3.296235e-02
5000;10000;64;0.404;206.2696;2.363876e-11;3.296235e-02
5000;10000;64;0.409;203.7501;2.363876e-11;3.296235e-02
5000;10000;64;0.410;203.3203;2.363876e-11;3.296235e-02
5000;10000;64;0.408;204.3967;2.363876e-11;3.296235e-02
5000;10000;64;0.403;206.9088;2.363876e-11;3.296235e-02
5000;10000;64;0.412;202.1811;2.363876e-11;3.296235e-02
5000;10000;64;0.415;200.9142;2.363876e-11;3.296235e-02
5000;10000;64;0.413;201.8340;2.363876e-11;3.296235e-02
5000;10000;64;0.418;199.6413;2.363876e-11;3.296235e-02
5000;10000;64;0.412;202.3561;2.363876e-11;3.296235e-02
5000;10000;64;0.408;204.1385;2.363876e-11;3.296235e-02
5000;10000;64;0.409;203.6268;2.363876e-11;3.296235e-02
5000;10000;64;0.402;207.5459;2.363876e-11;3.296235e-02
5000;10000;64;0.407;205.0903;2.363876e-11;3.296235e-02
5000;10000;64;0.411;203.0569;2.363876e-11;3.296235e-02
5000;10000;64;0.405;205.8004;2.363876e-11;3.296235e-02
5000;10000;64;0.420;198.3185;2.363876e-11;3.296235e-02
5000;10000;64;0.422;197.5308;2.363876e-11;3.296235e-02
5000;10000;64;0.421;197.9243;2.363876e-11;3.296235e-02
