		User-defined string

Warning: incorrect parameter Data alignment value (in Kbytes) (64),
must be not bigger than (64),
set to default value (64).
Current date/time: Tue Dec  3 03:33:34 2019

CPU frequency:    3.652 GHz
Number of CPUs: 64
Number of cores: 64
Number of threads: 64

Parameters are set to:

Number of tests                             : 1
Number of equations to solve (problem size) : 5000 
Leading dimension of array                  : 10000
Number of trials to run                     : 100  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used = 400265536, at the size = 5000

============= Timing linear equation system solver =================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm)
5000   10000  64     0.846      98.6130  2.386025e-11 3.327120e-02
5000   10000  64     0.876      95.1812  2.386025e-11 3.327120e-02
5000   10000  64     0.936      89.1144  2.386025e-11 3.327120e-02
5000   10000  64     0.874      95.4156  2.386025e-11 3.327120e-02
5000   10000  64     0.902      92.4348  2.386025e-11 3.327120e-02
5000   10000  64     0.905      92.0976  2.386025e-11 3.327120e-02
5000   10000  64     0.879      94.8803  2.386025e-11 3.327120e-02
5000   10000  64     0.901      92.5119  2.386025e-11 3.327120e-02
5000   10000  64     0.895      93.1343  2.386025e-11 3.327120e-02
5000   10000  64     0.905      92.1360  2.386025e-11 3.327120e-02
5000   10000  64     0.948      87.9963  2.386025e-11 3.327120e-02
5000   10000  64     0.860      96.9802  2.386025e-11 3.327120e-02
5000   10000  64     0.910      91.6296  2.386025e-11 3.327120e-02
5000   10000  64     0.916      91.0606  2.386025e-11 3.327120e-02
5000   10000  64     0.865      96.4518  2.386025e-11 3.327120e-02
5000   10000  64     0.884      94.3424  2.386025e-11 3.327120e-02
5000   10000  64     0.890      93.6811  2.386025e-11 3.327120e-02
5000   10000  64     0.905      92.1709  2.386025e-11 3.327120e-02
5000   10000  64     0.910      91.6518  2.386025e-11 3.327120e-02
5000   10000  64     0.894      93.2222  2.386025e-11 3.327120e-02
5000   10000  64     0.896      93.0434  2.386025e-11 3.327120e-02
5000   10000  64     0.870      95.8858  2.386025e-11 3.327120e-02
5000   10000  64     0.909      91.6856  2.386025e-11 3.327120e-02
5000   10000  64     0.896      93.0714  2.386025e-11 3.327120e-02
5000   10000  64     0.893      93.3823  2.386025e-11 3.327120e-02
5000   10000  64     0.876      95.2043  2.386025e-11 3.327120e-02
5000   10000  64     0.922      90.4080  2.386025e-11 3.327120e-02
5000   10000  64     0.894      93.3129  2.386025e-11 3.327120e-02
5000   10000  64     0.897      92.9828  2.386025e-11 3.327120e-02
5000   10000  64     0.888      93.9307  2.386025e-11 3.327120e-02
5000   10000  64     0.901      92.5070  2.386025e-11 3.327120e-02
5000   10000  64     0.900      92.6167  2.386025e-11 3.327120e-02
5000   10000  64     0.884      94.2765  2.386025e-11 3.327120e-02
5000   10000  64     0.913      91.3661  2.386025e-11 3.327120e-02
5000   10000  64     0.905      92.1156  2.386025e-11 3.327120e-02
5000   10000  64     0.914      91.2415  2.386025e-11 3.327120e-02
5000   10000  64     0.889      93.7980  2.386025e-11 3.327120e-02
5000   10000  64     0.876      95.1822  2.386025e-11 3.327120e-02
5000   10000  64     0.896      93.1071  2.386025e-11 3.327120e-02
5000   10000  64     0.880      94.7533  2.386025e-11 3.327120e-02
5000   10000  64     0.894      93.2701  2.386025e-11 3.327120e-02
5000   10000  64     0.911      91.5531  2.386025e-11 3.327120e-02
5000   10000  64     0.902      92.4019  2.386025e-11 3.327120e-02
