        User-defined string

Warning: incorrect parameter Data alignment value (in Kbytes) (64),
must be not bigger than (64),
set to default value (64).
Current date/time: Tue Dec  3 02:54:56 2019

CPU frequency:    3.683 GHz
Number of CPUs: 64
Number of cores: 64
Number of threads: 64

Parameters are set to:

Number of tests                             : 1
Number of equations to solve (problem size) : 5000 
Leading dimension of array                  : 10000
Number of trials to run                     : 100  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used = 400265536, at the size = 5000

============= Timing linear equation system solver =================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm)
5000   10000  64     0.908      91.8789  2.386025e-11 3.327120e-02
5000   10000  64     0.884      94.3694  2.386025e-11 3.327120e-02
5000   10000  64     0.933      89.3965  2.386025e-11 3.327120e-02
5000   10000  64     0.934      89.2315  2.386025e-11 3.327120e-02
5000   10000  64     0.894      93.2246  2.386025e-11 3.327120e-02
5000   10000  64     0.897      92.9885  2.386025e-11 3.327120e-02
5000   10000  64     0.917      90.9399  2.386025e-11 3.327120e-02
5000   10000  64     0.936      89.0510  2.386025e-11 3.327120e-02
5000   10000  64     0.889      93.8041  2.386025e-11 3.327120e-02
5000   10000  64     0.901      92.5606  2.386025e-11 3.327120e-02
5000   10000  64     0.933      89.3801  2.386025e-11 3.327120e-02
5000   10000  64     0.887      94.0562  2.386025e-11 3.327120e-02
5000   10000  64     0.906      92.0281  2.386025e-11 3.327120e-02
5000   10000  64     0.897      93.0037  2.386025e-11 3.327120e-02
5000   10000  64     0.922      90.4392  2.386025e-11 3.327120e-02
5000   10000  64     0.926      90.0328  2.386025e-11 3.327120e-02
5000   10000  64     0.898      92.8033  2.386025e-11 3.327120e-02
5000   10000  64     0.877      95.0689  2.386025e-11 3.327120e-02
5000   10000  64     0.911      91.4827  2.386025e-11 3.327120e-02
5000   10000  64     0.896      93.0487  2.386025e-11 3.327120e-02
5000   10000  64     0.903      92.3432  2.386025e-11 3.327120e-02
5000   10000  64     0.901      92.5583  2.386025e-11 3.327120e-02
5000   10000  64     0.917      90.9212  2.386025e-11 3.327120e-02
5000   10000  64     0.890      93.6919  2.386025e-11 3.327120e-02
5000   10000  64     0.884      94.3673  2.386025e-11 3.327120e-02
5000   10000  64     0.935      89.1719  2.386025e-11 3.327120e-02
5000   10000  64     0.922      90.3895  2.386025e-11 3.327120e-02
5000   10000  64     0.939      88.8398  2.386025e-11 3.327120e-02
5000   10000  64     0.927      89.9139  2.386025e-11 3.327120e-02
5000   10000  64     0.913      91.3257  2.386025e-11 3.327120e-02
5000   10000  64     0.898      92.8611  2.386025e-11 3.327120e-02
5000   10000  64     0.907      91.8856  2.386025e-11 3.327120e-02
5000   10000  64     0.931      89.5548  2.386025e-11 3.327120e-02
5000   10000  64     0.909      91.7209  2.386025e-11 3.327120e-02
5000   10000  64     0.916      91.0438  2.386025e-11 3.327120e-02
5000   10000  64     0.883      94.3986  2.386025e-11 3.327120e-02
5000   10000  64     0.905      92.1600  2.386025e-11 3.327120e-02
5000   10000  64     0.897      92.9341  2.386025e-11 3.327120e-02
5000   10000  64     0.903      92.3851  2.386025e-11 3.327120e-02
5000   10000  64     0.920      90.5997  2.386025e-11 3.327120e-02
5000   10000  64     0.902      92.4695  2.386025e-11 3.327120e-02
5000   10000  64     0.923      90.3751  2.386025e-11 3.327120e-02
5000   10000  64     0.894      93.2938  2.386025e-11 3.327120e-02
5000   10000  64     0.907      91.9285  2.386025e-11 3.327120e-02
