# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000      653.938    30834.078
       0.102      394.700     1917.938    30834.078
       0.203      404.100     3189.938    30834.078
       0.305      394.500     4439.938    30834.078
       0.406      394.500     5713.938    30834.078
       0.507      404.200     6975.938    30834.078
       0.609      394.600     8291.938    30834.078
       0.710      404.300     9625.938    30834.078
       0.812      394.700    11049.938    30834.078
       0.913      394.800    12493.938    30834.078
       1.014      404.600    13919.938    30834.078
       1.116      394.800    15357.938    30834.078
       1.217      385.000    16779.938    30834.078
       1.318      424.400    18219.938    30834.078
       1.419      385.000    19639.938    30834.078
       1.521      384.900    21067.938    30834.078
       1.622      414.500    22503.938    30834.078
       1.727      392.200    23975.938    30834.078
       1.828      384.800    25399.938    30834.078
       1.929      404.700    26841.938    30834.078
       2.031      394.900    28265.938    30834.078
       2.132      394.500    29707.938    30834.078
       2.233      345.500    30809.133    30834.078
       2.335      424.500    30809.133    30834.078
       2.436      395.700    30809.133    30834.078
       2.537      395.800    30809.133    30834.078
       2.638      336.500    30809.133    30834.078
       2.739      405.400    30809.133    30834.078
       2.840      395.700    30809.133    30834.078
       2.941      395.800    30809.133    30834.078
       3.042      405.600    30809.133    30834.078
       3.143      325.600    30809.133    30834.078
       3.245      206.900    30809.133    30834.078
       3.346      266.700    30809.133    30834.078
       3.447      395.900    30809.133    30834.078
       3.548      385.900    30809.133    30834.078
       3.649      395.800    30809.133    30834.078
       3.751      405.400    30809.133    30834.078
       3.852      366.100    30809.133    30834.078
       3.953      395.900    30809.133    30834.078
       4.054      395.900    30809.133    30834.078
       4.155      415.400    30809.133    30834.078
       4.256      385.600    30809.133    30834.078
       4.357      395.900    30809.133    30834.078
       4.458      395.900    30809.133    30834.078
       4.559      375.000    30809.133    30834.078
       4.661      245.900    30809.133    30834.078
       4.762      405.700    30809.277    30834.078
       4.863      385.700    30809.277    30834.078
       4.964      395.800    30809.277    30834.078
       5.065      395.900    30809.277    30834.078
       5.166      405.600    30809.277    30834.078
       5.268      395.600    30809.277    30834.078
       5.369      365.400    30809.277    30834.078
       5.470      305.400    30809.277    30834.078
       5.571      118.500    30809.277    30834.078
       5.673      256.600    30809.277    30834.078
       5.774      395.900    30809.277    30834.078
       5.875      405.600    30809.277    30834.078
       5.976      395.600    30809.277    30834.078
       6.077      395.900    30809.277    30834.078
       6.178      336.300    30809.277    30834.078
       6.279      395.700    30809.277    30834.078
       6.380      395.800    30809.277    30834.078
       6.481      395.900    30809.277    30834.078
       6.583      405.600    30809.277    30834.078
       6.684      356.000    30809.277    30834.078
       6.785      168.000    30809.277    30834.078
       6.886      306.800    30809.277    30834.078
       6.987      415.400    30809.277    30834.078
       7.088      385.900    30809.277    30834.078
       7.189      395.700    30809.277    30834.078
       7.290      415.400    30809.277    30834.078
       7.391      395.600    30809.277    30834.078
       7.492      385.100    30809.277    30834.078
       7.594      255.300    30809.277    30834.078
       7.696       98.500    30809.277    30834.078
       7.798      216.400    30809.277    30834.078
       7.899      405.600    30809.277    30834.078
       8.000      395.800    30809.277    30834.078
       8.101      395.900    30809.277    30834.078
       8.202      395.800    30809.277    30834.078
       8.303      405.500    30809.277    30834.078
       8.404      395.800    30809.277    30834.078
       8.505      325.900    30809.277    30834.078
       8.607      334.900    30809.277    30834.078
       8.708      395.600    30809.277    30834.078
       8.809      395.900    30809.277    30834.078
       8.910      395.800    30809.277    30834.078
       9.011      405.500    30809.277    30834.078
