# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      129.957     1047.633
       0.101       99.100      523.957     1047.633
       0.202       99.000      955.957     1047.633
       0.303      108.900     1031.188     1047.699
       0.404       99.100     1031.188     1047.699
       0.505       99.200     1031.188     1047.699
       0.606       99.200     1031.188     1047.699
       0.706       99.200     1031.188     1047.699
       0.807       99.200     1031.188     1047.699
       0.908       99.200     1031.188     1047.699
       1.009       99.200     1031.188     1047.699
       1.109       99.200     1031.188     1047.699
       1.210       99.200     1031.188     1047.699
