# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.014        0.000      170.746    12294.652
       0.116      306.200     1238.867    12294.652
       0.217      385.100     2646.867    12294.652
       0.318      404.800     4082.867    12294.652
       0.419      395.000     5518.867    12294.652
       0.521      395.000     6958.867    12294.652
       0.622      414.800     8394.867    12294.652
       0.723      385.200     9820.867    12294.652
       0.824      394.900    11242.867    12294.652
       0.926      305.600    12217.836    12294.652
       1.027      365.700    12269.836    12294.652
       1.128      396.200    12269.836    12294.652
       1.229      396.200    12269.836    12294.652
       1.330      386.300    12269.836    12294.652
       1.431      396.200    12269.836    12294.652
       1.532      396.300    12269.836    12294.652
       1.633      396.300    12269.836    12294.652
       1.734      406.200    12269.836    12294.652
       1.835      396.100    12269.836    12294.652
       1.936      396.200    12269.836    12294.652
       2.037      396.300    12269.836    12294.652
       2.138      396.200    12269.836    12294.652
       2.239      406.100    12269.836    12294.652
       2.340      396.300    12269.836    12294.652
       2.440      396.300    12269.836    12294.652
       2.541      396.300    12269.926    12294.652
       2.642      416.100    12269.926    12294.652
       2.743      386.300    12269.926    12294.652
       2.844      396.100    12269.926    12294.652
       2.945      396.300    12269.926    12294.652
       3.046      376.400    12269.926    12294.652
       3.147      396.200    12269.926    12294.652
       3.248      396.300    12269.926    12294.652
       3.349      396.300    12269.926    12294.652
       3.450      406.100    12269.926    12294.652
       3.551      396.300    12269.926    12294.652
       3.652      396.300    12269.926    12294.652
       3.753      396.200    12269.926    12294.652
       3.854      416.100    12269.926    12294.652
       3.955      386.400    12269.926    12294.652
       4.056      396.300    12269.926    12294.652
       4.157      396.300    12269.926    12294.652
       4.258      396.300    12269.926    12294.652
       4.358      406.200    12269.926    12294.652
       4.459      396.300    12269.926    12294.652
       4.560      396.300    12269.926    12294.652
       4.661      396.300    12269.926    12294.652
       4.762      406.000    12269.926    12294.652
       4.863      396.300    12269.926    12294.652
       4.964      396.300    12269.926    12294.652
       5.065      396.300    12269.926    12294.652
       5.166      416.100    12269.926    12294.652
       5.267      396.200    12269.926    12294.652
       5.368      396.200    12269.926    12294.652
       5.469      396.300    12269.926    12294.652
       5.570      396.200    12269.926    12294.652
       5.671      396.200    12269.926    12294.652
       5.772      396.100    12269.926    12294.652
       5.873      396.300    12269.926    12294.652
       5.974      396.300    12269.926    12294.652
       6.075      416.000    12269.926    12294.652
       6.176      396.300    12269.926    12294.652
       6.276      396.300    12269.926    12294.652
       6.377      396.300    12269.926    12294.652
       6.478      406.100    12269.926    12294.652
       6.579      396.300    12269.926    12294.652
       6.681      393.400    12269.926    12294.652
       6.782      405.600    12269.926    12294.652
       6.883      396.300    12269.926    12294.652
       6.984      396.200    12269.926    12294.652
       7.085      396.200    12269.926    12294.652
       7.186      406.300    12269.926    12294.652
       7.287      396.300    12269.926    12294.652
       7.388      396.300    12269.926    12294.652
       7.489      396.300    12269.926    12294.652
       7.590      386.300    12269.926    12294.652
       7.691      406.100    12269.926    12294.652
       7.792      396.200    12269.926    12294.652
       7.892      396.200    12269.926    12294.652
       7.993      396.300    12269.926    12294.652
       8.094      406.200    12269.926    12294.652
       8.195      396.300    12269.926    12294.652
       8.296      396.300    12269.926    12294.652
       8.397      396.300    12269.926    12294.652
       8.498      396.300    12269.926    12294.652
       8.599      396.300    12269.926    12294.652
