# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000        2.652    27706.691
       0.102        0.000        2.652    27706.691
       0.204        0.000        2.652    27706.691
       0.306        0.000        2.652    27706.691
       0.407        0.000        2.652    27706.691
       0.509        0.000        2.652    27706.691
       0.611        0.000        2.652    27706.691
       0.712        0.000        2.652    27706.691
       0.814        0.000        2.652    27706.691
       1.071      528.600        2.652    27706.691
       1.173        0.000        2.652    27706.691
       1.275        0.000        2.652    27706.691
       1.376        0.000        2.652    27706.691
       1.478        0.000        2.652    27706.691
       1.579        0.000        2.652    27706.691
       1.681        0.000        2.652    27706.691
       1.782        0.000        2.652    27706.691
       1.884        0.000        2.652    27706.691
       1.985     1025.100        2.652    27706.691
       2.171      220.100        2.652    27706.691
       2.273        0.000        2.652    27706.691
       2.374        0.000        2.652    27706.691
       2.476        0.000        2.652    27706.691
       2.578        0.000        2.652    27706.691
       2.679        0.000        2.652    27706.691
       2.780        0.000        2.652    27706.691
       2.882        0.000        2.652    27706.691
       2.984        0.000        2.652    27706.691
       3.171      550.500        2.652    27706.691
       3.373        9.800        2.652    27706.691
       3.475        0.000        2.652    27706.691
       3.576        0.000        2.652    27706.691
       3.677        0.000        2.652    27706.691
       3.778        0.000        2.652    27706.691
       3.880        0.000        2.652    27706.691
       3.982        0.000        2.652    27706.691
       4.083        0.000        2.652    27706.691
       4.271      556.800      844.652    27706.691
       4.473       49.000      984.652    27706.691
       4.574        0.000      984.652    27706.691
       4.676        0.000      984.652    27706.691
       4.777        0.000      984.652    27706.691
       4.879        0.000      984.652    27706.691
       4.981        0.000      984.652    27706.691
       5.082        0.000      984.652    27706.691
       5.184        0.000      984.652    27706.691
       5.371      512.200     2163.934    27706.691
       5.477      546.700     2838.176    27706.691
       5.579        0.000     2846.176    27706.691
       5.681        0.000     2846.176    27706.691
       5.782        0.000     2846.176    27706.691
       5.884        0.000     2846.176    27706.691
       5.986        0.000     2846.176    27706.691
       6.087        0.000     2846.176    27706.691
       6.189        0.000     2846.176    27706.691
       6.291        0.000     2846.176    27706.691
       6.471      570.400     4154.176    27706.691
       6.671      430.400     6134.176    27706.691
       6.873       19.600     6240.176    27706.691
       6.974        0.000     6240.176    27706.691
       7.076        0.000     6240.176    27706.691
       7.177        0.000     6240.176    27706.691
       7.279        0.000     6240.176    27706.691
       7.380        0.000     6240.176    27706.691
       7.482        0.000     6240.176    27706.691
       7.584        0.000     6240.176    27706.691
       7.771      407.200     8158.176    27706.691
       8.079       19.600     8188.176    27706.691
       8.180        0.000     8188.176    27706.691
       8.281        0.000     8188.176    27706.691
       8.383        0.000     8188.176    27706.691
       8.485        0.000     8188.176    27706.691
       8.587        0.000     8188.176    27706.691
       8.688        0.000     8188.176    27706.691
       8.790        0.000     8188.176    27706.691
       8.971      488.300    10656.277    27706.691
       9.273       29.300    10740.277    27706.691
       9.375        0.000    10740.277    27706.691
       9.476        0.000    10740.277    27706.691
       9.578        0.000    10740.277    27706.691
       9.680        0.000    10740.277    27706.691
       9.781        0.000    10740.277    27706.691
       9.883        0.000    10740.277    27706.691
       9.984        0.000    10740.277    27706.691
      10.171      380.500    12982.277    27706.691
      10.577      448.800    13634.277    27706.691
      10.679       19.600    13652.277    27706.691
      10.781        0.000    13652.277    27706.691
      10.882        0.000    13652.277    27706.691
      10.984        0.000    13652.277    27706.691
      11.085        0.000    13652.277    27706.691
      11.187        0.000    13652.277    27706.691
      11.289        0.000    13652.277    27706.691
      11.390        0.000    13652.277    27706.691
      11.571      441.500    14486.277    27706.691
      11.771      366.000    16422.277    27706.691
      11.979        9.800    16432.277    27706.691
      12.081        0.000    16432.277    27706.691
      12.182        0.000    16432.277    27706.691
      12.284        0.000    16432.277    27706.691
      12.385        0.000    16432.277    27706.691
      12.486        0.000    16432.277    27706.691
      12.588        0.000    16432.277    27706.691
      12.690        0.000    16432.277    27706.691
      12.791        0.000    16432.277    27706.691
      12.971      555.900    17450.277    27706.691
      13.171      439.600    18462.277    27706.691
      13.277      425.000    19116.277    27706.691
      13.379        0.000    19122.277    27706.691
      13.481        0.000    19122.277    27706.691
      13.583        0.000    19122.277    27706.691
      13.684        0.000    19122.277    27706.691
      13.786        0.000    19122.277    27706.691
      13.887        0.000    19122.277    27706.691
      13.989        0.000    19122.277    27706.691
      14.090        0.000    19122.277    27706.691
      14.271      470.200    19930.277    27706.691
      14.471      334.900    20744.277    27706.691
      14.579        9.800    20784.277    27706.691
