# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000      432.418    14354.586
       0.102        0.000      432.418    14354.586
       0.203        0.000      432.418    14354.586
       0.304        0.000      432.418    14354.586
       0.405        0.000      432.418    14354.586
       0.506       88.900      744.418    14354.586
       0.608        0.000      744.418    14354.586
       0.709        0.000      744.418    14354.586
       0.810       79.100      958.418    14354.586
       0.912      108.400     1308.418    14354.586
       1.013        0.000     1308.418    14354.586
       1.114        0.000     1308.418    14354.586
       1.215        0.000     1308.418    14354.586
       1.317        0.000     1308.418    14354.586
       1.418        0.000     1308.418    14354.586
       1.519        0.000     1308.418    14354.586
       1.620        0.000     1308.418    14354.586
       1.722      305.400     2314.418    14354.586
       1.823        0.000     2314.418    14354.586
       1.925        0.000     2314.418    14354.586
       2.026        0.000     2314.418    14354.586
       2.127        0.000     2314.418    14354.586
       2.229        0.000     2314.418    14354.586
       2.330        0.000     2314.418    14354.586
       2.431        0.000     2314.418    14354.586
       2.533      148.200     2806.418    14354.586
       2.634      148.000     3282.418    14354.586
       2.735        0.000     3282.418    14354.586
       2.836        0.000     3282.418    14354.586
       2.937        0.000     3282.418    14354.586
       3.039        0.000     3282.418    14354.586
       3.140        0.000     3282.418    14354.586
       3.241        0.000     3282.418    14354.586
       3.342        0.000     3282.418    14354.586
       3.444      305.700     4248.418    14354.586
       3.545        0.000     4248.418    14354.586
       3.646        0.000     4248.418    14354.586
       3.748        0.000     4248.418    14354.586
       3.849        0.000     4248.418    14354.586
       3.950        0.000     4248.418    14354.586
       4.051        0.000     4248.418    14354.586
       4.152        0.000     4248.418    14354.586
       4.254       98.800     4610.418    14354.586
       4.355      187.500     5172.418    14354.586
       4.456        0.000     5172.418    14354.586
       4.558        0.000     5172.418    14354.586
       4.659        0.000     5172.418    14354.586
       4.760        0.000     5172.418    14354.586
       4.861        0.000     5172.418    14354.586
       4.962        0.000     5172.418    14354.586
       5.063        0.000     5172.418    14354.586
       5.165      295.800     6154.418    14354.586
       5.266        0.000     6154.418    14354.586
       5.367        0.000     6154.418    14354.586
       5.469        0.000     6154.418    14354.586
       5.570        0.000     6154.418    14354.586
       5.671        0.000     6154.418    14354.586
       5.772        0.000     6154.418    14354.586
       5.873        0.000     6154.418    14354.586
       5.975       98.700     6454.418    14354.586
       6.076      207.100     7140.418    14354.586
       6.177        0.000     7140.418    14354.586
       6.279        0.000     7140.418    14354.586
       6.380        0.000     7140.418    14354.586
       6.481        0.000     7140.418    14354.586
       6.582        0.000     7140.418    14354.586
       6.683        0.000     7140.418    14354.586
       6.785        0.000     7140.418    14354.586
       6.886      266.900     8072.418    14354.586
       6.987       19.700     8104.418    14354.586
       7.089        0.000     8104.418    14354.586
       7.190        0.000     8104.418    14354.586
       7.291        0.000     8104.418    14354.586
       7.392        0.000     8104.418    14354.586
       7.493        0.000     8104.418    14354.586
       7.595        0.000     8104.418    14354.586
       7.696       69.200     8324.418    14354.586
       7.797      246.700     9152.418    14354.586
       7.899        0.000     9152.418    14354.586
       8.000        0.000     9152.418    14354.586
       8.101        0.000     9152.418    14354.586
       8.202        0.000     9152.418    14354.586
       8.304        0.000     9152.418    14354.586
       8.405        0.000     9152.418    14354.586
       8.506        0.000     9152.418    14354.586
       8.607      237.000     9956.418    14354.586
       8.708       49.300    10118.418    14354.586
       8.810        0.000    10118.418    14354.586
       8.911        0.000    10118.418    14354.586
       9.012        0.000    10118.418    14354.586
       9.113        0.000    10118.418    14354.586
       9.215        0.000    10118.418    14354.586
       9.316        0.000    10118.418    14354.586
       9.417       29.700    10204.418    14354.586
       9.518      266.200    11064.418    14354.586
       9.620        0.000    11064.418    14354.586
       9.721        0.000    11064.418    14354.586
       9.822        0.000    11064.418    14354.586
       9.923        0.000    11064.418    14354.586
      10.025        0.000    11064.418    14354.586
      10.126        0.000    11064.418    14354.586
      10.227        0.000    11064.418    14354.586
      10.328      227.600    11820.418    14354.586
      10.430       78.900    12094.418    14354.586
      10.531        0.000    12094.418    14354.586
      10.632        0.000    12094.418    14354.586
      10.733        0.000    12094.418    14354.586
      10.834        0.000    12094.418    14354.586
      10.936        0.000    12094.418    14354.586
      11.037        0.000    12094.418    14354.586
      11.138        0.000    12096.418    14354.586
      11.239      286.400    13030.418    14354.586
      11.341        0.000    13030.418    14354.586
      11.442        0.000    13030.418    14354.586
      11.543        0.000    13030.418    14354.586
      11.644        0.000    13030.418    14354.586
      11.746        0.000    13030.418    14354.586
      11.847        0.000    13030.418    14354.586
      11.948        0.000    13030.418    14354.586
      12.049      197.900    13698.418    14354.586
      12.151       98.600    14012.418    14354.586
      12.252        0.000    14012.418    14354.586
      12.353        0.000    14012.418    14354.586
      12.454        0.000    14012.418    14354.586
      12.556        0.000    14012.418    14354.586
      12.657        0.000    14012.418    14354.586
      12.758        0.000    14012.418    14354.586
      12.859        0.000    14012.418    14354.586
      12.961      286.200    14329.668    14354.586
      13.062        0.000    14329.668    14354.586
      13.163        0.000    14329.668    14354.586
      13.264        0.000    14329.668    14354.586
      13.366        0.000    14329.668    14354.586
      13.467        0.000    14329.668    14354.586
      13.568        0.000    14329.668    14354.586
      13.669        0.000    14329.668    14354.586
      13.771      178.100    14329.668    14354.586
      13.872      128.500    14329.668    14354.586
      13.973        0.000    14329.668    14354.586
      14.074        0.000    14329.668    14354.586
      14.175        0.000    14329.668    14354.586
      14.277        0.000    14329.668    14354.586
      14.378        0.000    14329.668    14354.586
      14.479        0.000    14329.668    14354.586
      14.581        0.000    14329.668    14354.586
      14.682      267.100    14329.668    14354.586
      14.783        0.000    14329.668    14354.586
      14.884        0.000    14329.668    14354.586
      14.985        0.000    14329.668    14354.586
      15.087        0.000    14329.668    14354.586
      15.188        0.000    14329.668    14354.586
      15.289        0.000    14329.668    14354.586
      15.390        0.000    14329.668    14354.586
      15.492      118.700    14329.668    14354.586
      15.592      197.800    14329.668    14354.586
      15.694        0.000    14329.668    14354.586
      15.795        0.000    14329.668    14354.586
      15.897        0.000    14329.668    14354.586
      15.998        0.000    14329.668    14354.586
      16.099        0.000    14329.668    14354.586
      16.200        0.000    14329.668    14354.586
      16.302        0.000    14329.668    14354.586
      16.403      296.800    14329.668    14354.586
      16.504       19.800    14329.668    14354.586
      16.605        0.000    14329.668    14354.586
      16.706        0.000    14329.668    14354.586
      16.808        0.000    14329.668    14354.586
      16.909        0.000    14329.668    14354.586
      17.010        0.000    14329.668    14354.586
      17.112        0.000    14329.668    14354.586
      17.213       59.500    14329.668    14354.586
      17.314      217.500    14329.668    14354.586
      17.415        0.000    14329.668    14354.586
      17.516        0.000    14329.668    14354.586
      17.617        0.000    14329.668    14354.586
      17.719        0.000    14329.668    14354.586
      17.820        0.000    14329.668    14354.586
      17.922        0.000    14329.668    14354.586
      18.023        0.000    14329.668    14354.586
      18.124      168.100    14329.668    14354.586
      18.225       29.700    14329.668    14354.586
      18.326        0.000    14329.668    14354.586
      18.428        0.000    14329.668    14354.586
      18.529        0.000    14329.668    14354.586
      18.630        0.000    14329.668    14354.586
      18.732        0.000    14329.668    14354.586
      18.833        0.000    14329.668    14354.586
      18.934      109.000    14329.668    14354.586
      19.035      276.800    14329.668    14354.586
      19.136        0.000    14329.668    14354.586
      19.238        0.000    14329.668    14354.586
      19.339        0.000    14329.668    14354.586
      19.440        0.000    14329.668    14354.586
