# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.095        0.000        2.680    33886.500
       0.294      482.300        2.680    33886.500
       0.594      427.800      712.680    33886.500
       0.897      762.600     1724.219    33886.500
       1.195      543.800     3618.219    33886.500
       1.594      443.000     5948.219    33886.500
       1.795      448.700     7162.219    33886.500
       2.194      435.500     8998.219    33886.500
       2.394      451.000     9776.219    33886.500
       2.594      525.200    12274.219    33886.500
       3.095      468.800    14042.219    33886.500
       3.199      769.600    14710.219    33886.500
       3.395      433.400    15718.219    33886.500
       3.595      760.000    17244.219    33886.500
       3.795      314.400    18230.277    33886.500
       4.094      742.200    20474.277    33886.500
       4.295      328.300    21498.277    33886.500
       4.495      450.700    22480.277    33886.500
       4.598      488.000    23444.277    33886.500
       4.895      478.500    24748.277    33886.500
       4.997      343.200    25422.277    33886.500
       5.098      775.200    26354.277    33886.500
       5.295      549.900    27520.277    33886.500
       5.495      319.600    28396.277    33886.500
       5.695      535.100    29586.277    33886.500
       5.895      325.000    30398.094    33886.500
       5.997      619.100    30964.094    33886.500
       6.098      433.500    31258.094    33886.500
       6.200      394.300    31696.094    33886.500
       6.301      344.800    31889.727    33886.500
       6.403      167.800    31881.875    33886.500
       6.504       29.600    31880.371    33886.500
       6.605       59.400    31863.816    33886.500
       6.706       49.400    31865.367    33886.500
       6.807       29.700    31843.410    33886.500
       6.909       29.600    31863.293    33886.500
       7.010       29.600    31862.320    33886.500
       7.111       39.500    31836.926    33886.500
       7.212       49.300    31863.836    33886.500
       7.314       69.100    31884.688    33886.500
       7.416       29.400    31883.410    33886.500
       7.517       69.000    31901.035    33886.500
       7.619       29.600    31884.805    33886.500
       7.720       49.400    31873.684    33886.500
       7.821       69.300    31898.305    33886.500
       7.922       39.500    31884.902    33886.500
       8.023       88.600    31924.816    33886.500
       8.125       59.300    31908.938    33886.500
       8.226       69.100    31926.645    33886.500
       8.327       59.200    31927.730    33886.500
       8.429       58.900    31952.191    33886.500
       8.531       39.400    31942.141    33886.500
       8.632       79.000    31951.453    33886.500
       8.733       49.400    31961.492    33886.500
       8.834       98.700    31963.285    33886.500
       8.936      978.800    31964.711    33886.500
       9.037      345.700    31964.711    33886.500
       9.195      247.400    31964.738    33886.500
       9.296      492.100    31825.988    33886.500
       9.398      315.100    31785.641    33886.500
       9.499      523.000    31785.641    33886.500
       9.600      346.000    31783.652    33886.500
       9.701      306.000    31767.906    33886.500
       9.803      147.800    31766.031    33886.500
       9.905       19.700    31760.758    33886.500
      10.006       29.500    31733.023    33886.500
      10.108      128.600    31647.492    33886.500
      10.209       59.200    31656.797    33886.500
      10.310       98.700    31658.602    33886.500
      10.412      128.400    31667.398    33886.500
      10.513      167.700    31679.527    33886.500
      10.615      177.000    31694.781    33886.500
      10.716      138.000    31709.680    33886.500
      10.817      236.900    31740.625    33886.500
      10.919      216.900    31773.832    33886.500
      11.020      404.400    31810.078    33886.500
      11.121      207.300    31843.617    33886.500
      11.223      256.600    31877.504    33886.500
      11.324      511.900    31899.801    33886.500
      11.426      285.800    31917.191    33886.500
      11.527      266.500    31923.426    33886.500
      11.628      187.500    31931.707    33886.500
      11.794      548.900    31939.695    33886.500
      11.996      254.600    31913.715    33886.500
      12.098      588.000    31799.457    33886.500
      12.200      344.300    31784.344    33886.500
      12.302      375.200    31782.344    33886.500
      12.403      523.600    31780.344    33886.500
      12.504      326.300    31772.516    33886.500
      12.605      355.100    31773.441    33886.500
      12.707      414.400    31766.621    33886.500
      12.808      148.100    31761.008    33886.500
      12.909       19.700    31746.375    33886.500
      13.010       78.900    31640.551    33886.500
      13.113       49.000    31636.680    33886.500
      13.214       39.400    31635.652    33886.500
      13.316       78.900    31639.410    33886.500
      13.417       49.300    31647.109    33886.500
      13.518       98.400    31588.191    33886.500
      13.620       68.900    31599.055    33886.500
      13.722      107.900    31613.809    33886.500
      13.823       69.000    31633.484    33886.500
      13.925      138.300    31653.844    33886.500
      14.026      118.200    31677.859    33886.500
      14.128      176.800    31692.246    33886.500
      14.230       88.600    31707.891    33886.500
      14.331      147.700    31733.852    33886.500
      14.433      147.500    31770.141    33886.500
      14.535      206.600    31805.137    33886.500
      14.636      167.300    31840.641    33886.500
      14.738      147.600    31873.570    33886.500
      14.839      314.300    31906.621    33886.500
      14.941      177.300    31939.004    33886.500
      15.043      216.900    31941.586    33886.500
      15.144      138.000    31856.418    33886.500
      15.245       39.400    31853.973    33886.500
      15.347       98.700    31830.902    33886.500
      15.448       68.900    31792.164    33886.500
      15.550       88.300    31796.637    33886.500
      15.652       69.100    31788.309    33886.500
      15.753      177.900    31810.836    33886.500
      15.854      246.200    31840.379    33886.500
      15.957      176.500    31873.859    33886.500
      16.058      275.600    31907.203    33886.500
      16.160      285.700    31936.590    33886.500
      16.261      255.400    31954.363    33886.500
      16.363      157.600    31963.125    33886.500
      16.464      217.000    31960.285    33886.500
      16.566       98.500    31957.676    33886.500
      16.799      545.100    31960.016    33886.500
      16.900      393.500    31960.879    33886.500
      17.002      324.500    31908.914    33886.500
      17.195      316.600    31809.422    33886.500
      17.296      383.600    31796.312    33886.500
      17.398      384.400    31794.535    33886.500
      17.499      532.300    31790.070    33886.500
      17.601      345.600    31785.406    33886.500
      17.702      355.200    31782.039    33886.500
      17.803      405.300    31770.418    33886.500
      17.904      108.600    31729.719    33886.500
      18.006      118.700    31738.141    33886.500
      18.107       79.000    31756.094    33886.500
      18.208       59.200    31774.609    33886.500
      18.310       59.200    31790.820    33886.500
      18.411       69.100    31804.957    33886.500
      18.512       79.000    31816.305    33886.500
      18.614       69.000    31836.324    33886.500
      18.715       68.900    31860.230    33886.500
      18.817       98.600    31890.797    33886.500
      18.918       69.100    31924.078    33886.500
      19.019       59.200    31957.461    33886.500
      19.121       69.100    31981.809    33886.500
      19.222      108.600    31838.410    33886.500
      19.323       19.700    31817.738    33886.500
      19.425        0.000    31817.738    33886.500
      19.526        9.900    31810.625    33886.500
      19.628       29.600    31778.676    33886.500
      19.729       69.100    31709.027    33886.500
      19.831       49.400    31723.086    33886.500
      19.932       39.500    31734.766    33886.500
      20.033       39.400    31742.801    33886.500
      20.135       68.900    31750.164    33886.500
      20.236       59.100    31755.285    33886.500
      20.338       39.500    31777.500    33886.500
      20.439       59.300    31800.211    33886.500
      20.540       59.200    31831.301    33886.500
      20.641       79.000    31865.328    33886.500
      20.743       59.200    31897.062    33886.500
      20.844       69.100    31930.707    33886.500
      20.945       69.100    31965.211    33886.500
      21.047       59.300    31997.680    33886.500
      21.148       69.100    31978.824    33886.500
      21.249       59.100    31847.508    33886.500
      21.351       29.600    31845.305    33886.500
      21.452        9.900    31839.766    33886.500
      21.553        0.000    31815.766    33886.500
      21.655       59.200    31683.328    33886.500
      21.756       19.700    31682.875    33886.500
      21.858        9.800    31682.832    33886.500
      21.959       19.700    31686.820    33886.500
      22.061       49.300    31644.102    33886.500
      22.162       59.200    31622.961    33886.500
      22.263       49.300    31639.281    33886.500
      22.365       39.500    31656.703    33886.500
      22.466       59.300    31674.430    33886.500
      22.567       29.600    31687.012    33886.500
      22.669        9.800    31681.895    33886.500
      22.770       49.400    31686.996    33886.500
      22.871       39.400    31692.316    33886.500
      22.973       59.100    31711.945    33886.500
      23.074       39.500    31733.395    33886.500
      23.176       69.000    31749.012    33886.500
      23.277       69.100    31780.383    33886.500
      23.378       79.000    31812.699    33886.500
      23.479       59.300    31846.840    33886.500
      23.581       59.100    31880.090    33886.500
      23.682       78.700    31913.453    33886.500
      23.784      147.800    31941.473    33886.500
      23.885       69.100    31973.391    33886.500
      23.986       69.100    31989.746    33886.500
      24.088       59.100    32000.414    33886.500
      24.189       39.500    32012.477    33886.500
      24.290      108.500    31880.016    33886.500
      24.392        0.000    31874.016    33886.500
      24.493        9.800    31872.016    33886.500
      24.595        9.900    31838.016    33886.500
      24.696       69.100    31724.461    33886.500
      24.797       19.700    31726.738    33886.500
      24.899        9.800    31726.762    33886.500
      25.000       19.700    31704.957    33886.500
      25.102       59.100    31618.344    33886.500
      25.203       29.600    31625.664    33886.500
      25.305       29.400    31632.430    33886.500
      25.407       49.400    31638.223    33886.500
      25.508       59.100    31625.262    33886.500
      25.610       49.200    31646.516    33886.500
      25.711       49.300    31660.238    33886.500
      25.813       59.100    31685.141    33886.500
      25.914       98.800    31718.082    33886.500
      26.015       59.300    31752.312    33886.500
      26.117       59.300    31786.176    33886.500
      26.218       69.100    31820.277    33886.500
      26.319       88.900    31858.758    33886.500
      26.420       98.700    31895.469    33886.500
      26.522      118.500    31929.938    33886.500
      26.623      108.400    31953.684    33886.500
      26.725      137.700    31982.973    33886.500
      26.826      108.700    31997.188    33886.500
      26.927      118.500    32015.258    33886.500
      27.029       79.000    31968.520    33886.500
      27.130       49.300    31908.047    33886.500
      27.231        0.000    31902.727    33886.500
      27.332       39.500    31854.281    33886.500
      27.434       29.600    31798.227    33886.500
      27.535        9.900    31796.566    33886.500
      27.637       49.200    31773.363    33886.500
      27.738       59.300    31729.855    33886.500
      27.839       39.400    31732.289    33886.500
      27.941       49.300    31745.277    33886.500
      28.042       88.800    31777.875    33886.500
      28.143       78.900    31811.516    33886.500
      28.245       39.500    31845.078    33886.500
      28.346       79.000    31878.895    33886.500
      28.448       49.300    31912.367    33886.500
      28.549      108.600    31947.047    33886.500
      28.650      148.100    31978.891    33886.500
      28.751      167.800    32005.820    33886.500
      28.853      138.200    32022.492    33886.500
      28.954      118.400    32029.219    33886.500
      29.056       29.500    32004.016    33886.500
      29.157      108.700    32021.195    33886.500
      29.258       59.300    32029.105    33886.500
      29.360      108.700    32034.465    33886.500
      29.461       59.300    32031.047    33886.500
      29.562       98.800    32018.504    33886.500
      29.663       49.300    31987.922    33886.500
      29.765       49.200    31968.336    33886.500
      29.866       79.200    31986.883    33886.500
      29.967      138.200    32021.633    33886.500
      30.069      147.600    32039.207    33886.500
      30.170       59.200    32032.988    33886.500
      30.272      138.000    32038.625    33886.500
      30.373       88.900    32029.840    33886.500
      30.474      147.900    32038.367    33886.500
      30.576      118.200    32042.758    33886.500
      30.677       69.000    32037.949    33886.500
      30.779      108.500    32052.305    33886.500
      30.880       49.400    32045.727    33886.500
      30.981      108.600    32048.734    33886.500
      31.082       29.600    32047.504    33886.500
      31.184       29.500    32044.117    33886.500
      31.494      444.900    32044.734    33886.500
      31.694      660.700    32044.734    33886.500
      31.894      523.700    32047.668    33886.500
      32.198      569.900    31946.906    33886.500
      32.395      339.800    31891.211    33886.500
      32.496      384.700    31885.402    33886.500
      32.597      385.300    31883.402    33886.500
      32.699      513.800    31883.402    33886.500
      32.800      394.800    31879.625    33886.500
      32.902      324.000    31870.367    33886.500
      33.003      365.300    31836.297    33886.500
      33.104      157.600    31789.469    33886.500
      33.206       58.900    31792.961    33886.500
      33.308       59.100    31804.438    33886.500
      33.409       59.200    31817.609    33886.500
      33.511       78.700    31828.023    33886.500
      33.612       98.700    31833.359    33886.500
      33.714       78.700    31853.930    33886.500
      33.816       88.200    31872.535    33886.500
      33.917       98.700    31907.352    33886.500
      34.019       88.800    31939.621    33886.500
      34.120       69.000    31973.715    33886.500
      34.222       78.900    32007.215    33886.500
      34.323       98.600    32041.402    33886.500
      34.424       49.300    32069.754    33886.500
      34.526       78.900    31922.273    33886.500
      34.627        9.900    31899.016    33886.500
      34.729        0.000    31897.016    33886.500
      34.830        9.900    31897.016    33886.500
      34.931       19.700    31860.582    33886.500
      35.033       68.800    31761.816    33886.500
      35.135       29.400    31770.246    33886.500
      35.237       29.500    31779.605    33886.500
      35.339       49.100    31787.023    33886.500
      35.440       59.200    31764.859    33886.500
      35.541       49.300    31768.367    33886.500
      35.643       49.300    31790.148    33886.500
      35.744       49.200    31811.809    33886.500
      35.846       98.500    31832.258    33886.500
      35.947       59.200    31857.727    33886.500
      36.049       59.100    31890.160    33886.500
      36.150       88.700    31923.988    33886.500
      36.252      108.300    31959.180    33886.500
      36.353       59.100    31990.320    33886.500
      36.455       69.000    32022.969    33886.500
      36.556       49.300    32055.914    33886.500
      36.658       49.200    32078.730    33886.500
      36.759       98.400    32089.922    33886.500
      36.861       88.400    31932.539    33886.500
      36.963        9.900    31922.871    33886.500
      37.065        9.800    31917.320    33886.500
      37.166        9.900    31910.469    33886.500
      37.268       58.800    31854.926    33886.500
      37.369       29.600    31761.336    33886.500
      37.470       19.700    31764.211    33886.500
      37.572       59.300    31759.262    33886.500
      37.673        9.900    31763.473    33886.500
      37.774      108.700    31673.410    33886.500
      37.876       29.600    31683.977    33886.500
      37.977       39.500    31696.156    33886.500
      38.078       29.600    31707.648    33886.500
      38.180       49.400    31706.660    33886.500
      38.281       49.400    31727.457    33886.500
      38.382       59.200    31754.562    33886.500
      38.483       59.200    31789.172    33886.500
      38.585       69.100    31823.230    33886.500
      38.686       59.200    31856.875    33886.500
      38.787       69.100    31890.355    33886.500
      38.889       49.300    31924.750    33886.500
      38.990       69.000    31961.062    33886.500
      39.091      108.500    31995.867    33886.500
      39.193       79.000    32029.125    33886.500
      39.294       59.200    32048.066    33886.500
      39.395       29.600    32061.160    33886.500
      39.497       49.400    32067.168    33886.500
      39.598      148.100    32083.664    33886.500
