# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000        0.816    30834.078
       0.102      167.500      200.695    30834.078
       0.204        0.000      200.695    30834.078
       0.305      276.700     1154.695    30834.078
       0.407      167.500     1742.695    30834.078
       0.508        0.000     1742.695    30834.078
       0.609        0.000     1742.695    30834.078
       0.711        0.000     1742.695    30834.078
       0.812        0.000     1742.695    30834.078
       0.914        9.800     1778.695    30834.078
       1.015      395.100     3182.695    30834.078
       1.117       29.500     3232.695    30834.078
       1.218      177.600     3862.695    30834.078
       1.320      207.100     4630.695    30834.078
       1.421        0.000     4630.695    30834.078
       1.523        0.000     4630.695    30834.078
       1.624        0.000     4630.695    30834.078
       1.726        0.000     4630.695    30834.078
       1.828        9.900     4654.695    30834.078
       1.929      395.000     6064.695    30834.078
       2.030      138.100     6500.695    30834.078
       2.131       29.600     6612.695    30834.078
       2.233      305.600     7714.695    30834.078
       2.334        0.000     7714.695    30834.078
       2.436        0.000     7714.695    30834.078
       2.538        0.000     7714.695    30834.078
       2.640        0.000     7714.695    30834.078
       2.741        0.000     7714.695    30834.078
       2.842      276.600     8634.695    30834.078
       2.944      245.900     9530.695    30834.078
       3.046        0.000     9530.695    30834.078
       3.147      306.300    10590.695    30834.078
       3.248       19.700    10662.695    30834.078
       3.350        0.000    10662.695    30834.078
       3.452        0.000    10662.695    30834.078
       3.554        0.000    10662.695    30834.078
       3.655        0.000    10662.695    30834.078
       3.756      148.200    11130.695    30834.078
       3.858      364.600    12450.695    30834.078
       3.959        0.000    12450.695    30834.078
       4.060      168.000    13066.695    30834.078
       4.162      167.500    13612.695    30834.078
       4.263        0.000    13612.695    30834.078
       4.365        0.000    13612.695    30834.078
       4.466        0.000    13612.695    30834.078
       4.567        0.000    13612.695    30834.078
       4.669        9.900    13656.695    30834.078
       4.770      404.900    15066.695    30834.078
       4.871       98.400    15432.695    30834.078
       4.973       39.300    15582.695    30834.078
       5.075      295.100    16570.695    30834.078
       5.177        0.000    16570.695    30834.078
       5.278        0.000    16570.695    30834.078
       5.380        0.000    16570.695    30834.078
       5.482        0.000    16570.695    30834.078
       5.583        0.000    16570.695    30834.078
       5.685      284.900    17586.695    30834.078
       5.786      226.200    18374.695    30834.078
       5.889        0.000    18374.695    30834.078
       5.990      325.800    19512.695    30834.078
       6.091        0.000    19512.695    30834.078
       6.192        0.000    19512.695    30834.078
       6.294        0.000    19512.695    30834.078
       6.396        0.000    19512.695    30834.078
       6.497        0.000    19512.695    30834.078
       6.598      177.800    20096.695    30834.078
       6.700      334.600    21338.695    30834.078
       6.802        0.000    21338.695    30834.078
       6.903      217.300    22040.695    30834.078
       7.004      118.300    22484.695    30834.078
       7.106        0.000    22484.695    30834.078
       7.208        0.000    22484.695    30834.078
       7.309        0.000    22484.695    30834.078
       7.411        0.000    22484.695    30834.078
       7.513       39.500    22630.695    30834.078
       7.614      414.400    24052.695    30834.078
       7.715       68.900    24284.695    30834.078
       7.817       68.900    24558.695    30834.078
       7.919      245.800    25414.695    30834.078
       8.021        0.000    25414.695    30834.078
       8.123        0.000    25414.695    30834.078
       8.224        0.000    25414.695    30834.078
       8.325        0.000    25414.695    30834.078
       8.427        0.000    25414.695    30834.078
       8.528      326.000    26558.695    30834.078
       8.629      196.800    27240.695    30834.078
       8.731        0.000    27240.695    30834.078
       8.833      323.700    28392.695    30834.078
       8.935        0.000    28392.695    30834.078
       9.037        0.000    28392.695    30834.078
       9.138        0.000    28392.695    30834.078
       9.240        0.000    28392.695    30834.078
       9.341        0.000    28392.695    30834.078
       9.443      206.700    29060.695    30834.078
       9.544      315.000    30183.117    30834.078
       9.646        0.000    30183.117    30834.078
       9.748      176.900    30745.117    30834.078
       9.849       59.200    30809.117    30834.078
       9.950        0.000    30809.117    30834.078
      10.052        0.000    30809.117    30834.078
      10.153        0.000    30809.117    30834.078
      10.254       69.300    30809.117    30834.078
      10.355      385.700    30809.117    30834.078
      10.456       69.100    30809.117    30834.078
      10.557        0.000    30809.117    30834.078
      10.659      118.700    30809.117    30834.078
      10.760      226.800    30809.117    30834.078
      10.861        0.000    30809.117    30834.078
      10.963        0.000    30809.117    30834.078
      11.065        0.000    30809.117    30834.078
      11.166        0.000    30809.117    30834.078
      11.268      346.200    30809.117    30834.078
      11.369      177.500    30809.117    30834.078
      11.470        0.000    30809.117    30834.078
      11.571        0.000    30809.117    30834.078
      11.673      325.600    30809.117    30834.078
      11.774        0.000    30809.117    30834.078
      11.875        0.000    30809.117    30834.078
      11.977        0.000    30809.117    30834.078
      12.079        0.000    30809.117    30834.078
      12.180      196.800    30809.117    30834.078
      12.282      325.500    30809.117    30834.078
      12.383        0.000    30809.117    30834.078
      12.484        0.000    30809.117    30834.078
      12.586      227.200    30809.117    30834.078
      12.687       98.600    30809.117    30834.078
      12.788        0.000    30809.117    30834.078
      12.890        0.000    30809.117    30834.078
