# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000        0.750    18474.461
       0.102      316.000      701.824    18474.461
       0.204       19.700      811.824    18474.461
       0.305        0.000      811.824    18474.461
       0.407      197.100     1449.824    18474.461
       0.508      265.600     2379.824    18474.461
       0.610        0.000     2379.824    18474.461
       0.711        0.000     2379.824    18474.461
       0.813        0.000     2379.824    18474.461
       0.915      343.900     3623.824    18474.461
       1.016       88.500     3915.824    18474.461
       1.118        0.000     3915.824    18474.461
       1.220        0.000     3915.824    18474.461
       1.321      128.300     4383.824    18474.461
       1.422      394.900     5827.824    18474.461
       1.524      217.000     6555.824    18474.461
       1.625        0.000     6555.824    18474.461
       1.727        0.000     6555.824    18474.461
       1.828        9.900     6603.824    18474.461
       1.929      404.800     8015.824    18474.461
       2.031       29.500     8121.824    18474.461
       2.132        0.000     8121.824    18474.461
       2.234        0.000     8121.824    18474.461
       2.336      167.700     8735.824    18474.461
       2.437      414.500    10183.824    18474.461
       2.538      108.500    10581.824    18474.461
       2.640        0.000    10581.824    18474.461
       2.742        0.000    10581.824    18474.461
       2.843       88.900    10897.824    18474.461
       2.944      344.300    12107.824    18474.461
       3.046        0.000    12107.824    18474.461
       3.148        0.000    12107.824    18474.461
       3.250        0.000    12107.824    18474.461
       3.351      276.200    13045.824    18474.461
       3.452      404.700    14489.824    18474.461
       3.554        0.000    14533.824    18474.461
       3.655        0.000    14533.824    18474.461
       3.757        0.000    14533.824    18474.461
       3.858      207.500    15183.824    18474.461
       3.960      236.400    16075.824    18474.461
       4.061        0.000    16075.824    18474.461
       4.162        0.000    16075.824    18474.461
       4.264        0.000    16075.824    18474.461
       4.366      365.600    17349.824    18474.461
       4.467      315.400    18385.645    18474.461
       4.568        0.000    18385.645    18474.461
       4.670        0.000    18385.645    18474.461
       4.772        0.000    18385.645    18474.461
       4.873      247.100    18449.645    18474.461
       4.974      167.400    18449.645    18474.461
       5.076        0.000    18449.645    18474.461
       5.178        0.000    18449.645    18474.461
       5.279       39.300    18449.645    18474.461
       5.381      405.600    18449.645    18474.461
       5.482      276.300    18449.645    18474.461
       5.583        0.000    18449.645    18474.461
       5.684        0.000    18449.645    18474.461
       5.786        0.000    18449.645    18474.461
       5.887      316.500    18449.645    18474.461
       5.988      118.400    18449.645    18474.461
       6.090        0.000    18449.645    18474.461
       6.192        0.000    18449.645    18474.461
       6.293       98.900    18449.645    18474.461
       6.394      395.700    18449.645    18474.461
       6.495      197.300    18449.645    18474.461
       6.597        0.000    18449.645    18474.461
       6.698        0.000    18449.645    18474.461
       6.800        0.000    18449.645    18474.461
       6.901      395.600    18449.645    18474.461
       7.002       49.400    18449.645    18474.461
       7.103        0.000    18449.645    18474.461
       7.204        0.000    18449.645    18474.461
       7.306      158.300    18449.645    18474.461
       7.407      395.700    18449.645    18474.461
       7.508      138.100    18449.645    18474.461
       7.609        0.000    18449.645    18474.461
       7.711        0.000    18449.645    18474.461
       7.813       49.300    18449.645    18474.461
       7.914      364.800    18449.645    18474.461
       8.016        0.000    18449.645    18474.461
       8.117        0.000    18449.645    18474.461
       8.218        0.000    18449.645    18474.461
       8.320      226.400    18449.645    18474.461
       8.421      405.600    18449.645    18474.461
       8.522       88.800    18449.645    18474.461
       8.624        0.000    18449.645    18474.461
       8.725        0.000    18449.645    18474.461
       8.827      117.900    18449.645    18474.461
       8.928      315.800    18449.645    18474.461
       9.029        0.000    18449.645    18474.461
       9.131        0.000    18449.645    18474.461
       9.232        0.000    18449.645    18474.461
       9.334      276.900    18449.645    18474.461
       9.435      395.700    18449.645    18474.461
       9.536       19.700    18449.645    18474.461
       9.637        0.000    18449.645    18474.461
       9.739        0.000    18449.645    18474.461
       9.841      197.400    18449.645    18474.461
       9.942      236.800    18449.645    18474.461
      10.043        0.000    18449.645    18474.461
      10.145        0.000    18449.645    18474.461
      10.246        0.000    18449.645    18474.461
      10.348      365.600    18449.645    18474.461
      10.449      335.700    18449.645    18474.461
      10.550        0.000    18449.645    18474.461
      10.652        0.000    18449.645    18474.461
      10.754        0.000    18449.645    18474.461
      10.855      247.000    18449.645    18474.461
      10.956      157.800    18449.645    18474.461
      11.058        0.000    18449.645    18474.461
      11.159        0.000    18449.645    18474.461
      11.261       59.100    18449.645    18474.461
      11.362      395.600    18449.645    18474.461
      11.463      266.400    18449.645    18474.461
      11.565        0.000    18449.645    18474.461
      11.666        0.000    18449.645    18474.461
      11.767        0.000    18449.645    18474.461
      11.869      346.400    18449.645    18474.461
      11.970       69.100    18449.645    18474.461
      12.071        0.000    18449.645    18474.461
      12.173        0.000    18449.645    18474.461
      12.275      118.500    18449.758    18474.461
      12.376      385.800    18449.758    18474.461
      12.477      207.200    18449.758    18474.461
      12.578        0.000    18449.758    18474.461
      12.679        0.000    18449.758    18474.461
      12.781        0.000    18449.758    18474.461
      12.882      395.500    18449.758    18474.461
      12.983       49.300    18449.758    18474.461
      13.085        0.000    18449.758    18474.461
