# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        2.688    31826.562
       0.102    12282.600     8075.438    31826.562
       0.205    12816.400    18517.438    31826.562
       0.309    12811.500    28983.438    31826.562
       0.413    12344.700    30810.254    31826.562
       0.518    12637.500    30810.254    31826.562
       0.623    12675.700    30810.254    31826.562
       0.728    13190.600    30810.254    31826.562
       0.832    12668.600    30810.254    31826.562
       0.937    12660.200    30810.254    31826.562
       1.042    12658.500    30810.254    31826.562
       1.147    12722.300    30810.254    31826.562
       1.251    12733.200    30810.254    31826.562
       1.356    13171.600    30810.254    31826.562
       1.461    12665.500    30810.254    31826.562
       1.566    12721.900    30810.254    31826.562
       1.670    12709.500    30810.254    31826.562
       1.775    12683.600    30810.254    31826.562
       1.880    13198.800    30810.254    31826.562
       1.983    12370.200    30810.254    31826.562
       2.088    13203.300    30810.254    31826.562
       2.193    12716.700    30810.254    31826.562
       2.297    12703.600    30810.254    31826.562
       2.402    12681.900    30810.254    31826.562
       2.507    12672.400    30810.254    31826.562
       2.612    13170.100    30810.254    31826.562
       2.716    12733.400    30810.254    31826.562
       2.821    12702.100    30810.254    31826.562
       2.926    12664.000    30810.254    31826.562
       3.031    12697.500    30810.254    31826.562
       3.135    13206.300    30810.254    31826.562
       3.240    12729.000    30810.254    31826.562
       3.345    12692.100    30810.254    31826.562
       3.449    12676.100    30810.254    31826.562
       3.554    12717.400    30810.254    31826.562
       3.659    12710.100    30810.254    31826.562
       3.764    13170.000    30810.254    31826.562
       3.868    12693.900    30810.254    31826.562
       3.973    12709.400    30810.254    31826.562
       4.078    12716.900    30810.254    31826.562
       4.183    12690.300    30810.254    31826.562
       4.287    12703.800    30810.254    31826.562
       4.392    13199.300    30810.254    31826.562
       4.495    12814.400    30810.254    31826.562
       4.600    12685.400    30810.254    31826.562
       4.707    12515.800    30810.254    31826.562
       4.811    12719.400    30810.254    31826.562
       4.916    13138.200    30810.254    31826.562
       5.021    12708.200    30810.254    31826.562
       5.126    12710.100    30810.254    31826.562
       5.230    12718.800    30810.254    31826.562
       5.335    13127.600    30810.254    31826.562
       5.440    12697.900    30810.254    31826.562
       5.545    12704.500    30810.254    31826.562
       5.650    12702.200    30810.254    31826.562
       5.755    12677.200    30810.254    31826.562
       5.859    12707.800    30810.254    31826.562
       5.964    13173.200    30810.254    31826.562
       6.068    12736.200    30810.254    31826.562
       6.173    12696.900    30810.254    31826.562
       6.278    12714.400    30810.254    31826.562
       6.382    12824.900    30810.254    31826.562
       6.486    12698.600    30810.254    31826.562
       6.591    12693.000    30810.254    31826.562
       6.696    13195.900    30810.254    31826.562
       6.800    12732.300    30810.254    31826.562
       6.905    12667.600    30810.254    31826.562
       7.010    12672.400    30810.254    31826.562
       7.115    12709.800    30810.254    31826.562
       7.220    13198.100    30810.254    31826.562
       7.325    12670.200    30810.254    31826.562
       7.429    12710.700    30810.254    31826.562
       7.534    12699.300    30810.254    31826.562
       7.639    12717.700    30810.254    31826.562
       7.744    13157.600    30810.254    31826.562
       7.849    12697.800    30810.254    31826.562
       7.953    12712.300    30810.254    31826.562
       8.058    12715.000    30810.254    31826.562
       8.163    12665.900    30810.254    31826.562
       8.267    12811.900    30810.254    31826.562
       8.372    13124.700    30810.254    31826.562
       8.476     5448.000    30810.254    31826.562
       8.578       98.500    30810.254    31826.562
       8.680       98.200    30810.254    31826.562
       8.782       98.500    30810.254    31826.562
       8.883       98.700    30810.254    31826.562
       8.985       98.200    30810.254    31826.562
       9.086       98.600    30810.254    31826.562
       9.188       98.700    30810.254    31826.562
       9.289       98.800    30810.254    31826.562
       9.390       98.800    30810.254    31826.562
       9.491      108.700    30810.254    31826.562
       9.592       98.700    30810.254    31826.562
       9.694       98.800    30810.254    31826.562
       9.795       89.000    30810.254    31826.562
       9.896      118.400    30810.254    31826.562
       9.997       98.700    30810.254    31826.562
      10.099       88.900    30810.254    31826.562
      10.200      108.500    30810.254    31826.562
      10.302       88.400    30810.254    31826.562
      10.403      108.700    30810.254    31826.562
      10.504       98.800    30810.254    31826.562
      10.606       98.700    30810.254    31826.562
      10.707       98.800    30810.254    31826.562
      10.808       98.700    30810.254    31826.562
      10.909      108.700    30810.254    31826.562
      11.011       98.700    30810.254    31826.562
      11.112       98.700    30810.254    31826.562
      11.213       88.900    30810.254    31826.562
      11.315      108.600    30810.254    31826.562
      11.416       98.700    30810.254    31826.562
      11.518      108.000    30810.254    31826.562
      11.619       88.800    30810.254    31826.562
      11.721      108.400    30810.254    31826.562
      11.822       98.800    30810.254    31826.562
      11.923       88.900    30810.254    31826.562
      12.024      108.800    30810.254    31826.562
      12.126       98.700    30810.254    31826.562
      12.227       98.100    30810.254    31826.562
      12.329       98.600    30810.254    31826.562
      12.430       98.800    30810.254    31826.562
      12.531       98.700    30810.254    31826.562
      12.633      108.600    30810.254    31826.562
      12.734       98.700    30810.254    31826.562
      12.836       98.100    30810.254    31826.562
      12.937       98.600    30810.254    31826.562
      13.039       98.900    30810.254    31826.562
      13.140       98.700    30810.254    31826.562
      13.241       98.800    30810.254    31826.562
      13.342      108.700    30810.254    31826.562
      13.444       98.700    30810.254    31826.562
