# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      632.855    30834.078
       0.102      384.800     1874.855    30834.078
       0.203      404.200     3124.855    30834.078
       0.305      394.500     4376.855    30834.078
       0.406      394.400     5626.855    30834.078
       0.507      404.600     6874.855    30834.078
       0.609      394.400     8206.855    30834.078
       0.710      394.900     9656.855    30834.078
       0.811      414.400    11100.855    30834.078
       0.913      394.800    12550.855    30834.078
       1.014      384.900    13992.855    30834.078
       1.115      414.500    15434.855    30834.078
       1.217      394.900    16880.855    30834.078
       1.318      385.000    18322.855    30834.078
       1.419      414.600    19764.855    30834.078
       1.521      394.800    21206.855    30834.078
       1.622      395.100    22652.855    30834.078
       1.723      404.500    24098.855    30834.078
       1.824      394.900    25548.855    30834.078
       1.926      394.800    26996.855    30834.078
       2.027      404.600    28438.855    30834.078
       2.128      404.500    29884.855    30834.078
       2.230      325.800    30809.016    30834.078
       2.331      404.900    30809.016    30834.078
       2.432      395.700    30809.016    30834.078
       2.533      395.800    30809.016    30834.078
       2.634      395.800    30809.016    30834.078
       2.735      405.700    30809.016    30834.078
       2.837      395.500    30809.016    30834.078
       2.938      395.800    30809.016    30834.078
       3.039      395.800    30809.016    30834.078
       3.140      296.100    30809.016    30834.078
       3.241      236.400    30809.016    30834.078
       3.342      395.800    30809.016    30834.078
       3.444      405.500    30809.016    30834.078
       3.545      395.800    30809.016    30834.078
       3.646      395.800    30809.016    30834.078
       3.747      375.100    30809.016    30834.078
       3.848       98.600    30809.016    30834.078
       3.950      383.400    30809.016    30834.078
       4.051      405.800    30809.016    30834.078
       4.152      395.900    30809.016    30834.078
       4.253      395.900    30809.016    30834.078
       4.354      395.800    30809.016    30834.078
       4.455      405.600    30809.016    30834.078
       4.556      395.000    30809.016    30834.078
       4.658      355.800    30809.250    30834.078
       4.759      395.900    30809.250    30834.078
       4.860      405.500    30809.250    30834.078
       4.961      395.800    30809.250    30834.078
       5.062      395.500    30809.250    30834.078
       5.163      415.700    30809.250    30834.078
       5.264      395.800    30809.250    30834.078
       5.365      316.600    30809.250    30834.078
       5.466      395.900    30809.250    30834.078
       5.567      405.800    30809.250    30834.078
       5.669      395.600    30809.250    30834.078
       5.770      395.800    30809.250    30834.078
       5.871      395.700    30809.250    30834.078
       5.972      415.400    30809.250    30834.078
       6.073      385.900    30809.250    30834.078
       6.174      395.900    30809.250    30834.078
       6.275      415.600    30809.250    30834.078
       6.376      384.700    30809.250    30834.078
       6.477      167.900    30809.250    30834.078
       6.579      314.600    30809.250    30834.078
       6.680      405.800    30809.250    30834.078
       6.781      386.000    30809.250    30834.078
       6.882      395.900    30809.250    30834.078
       6.984      405.400    30809.250    30834.078
       7.085      395.800    30809.250    30834.078
       7.186      395.900    30809.250    30834.078
       7.287      246.800    30809.250    30834.078
       7.388      147.800    30809.250    30834.078
       7.490      395.900    30809.250    30834.078
       7.591      386.000    30809.250    30834.078
       7.692      415.700    30809.250    30834.078
       7.793      395.900    30809.250    30834.078
       7.894      395.800    30809.250    30834.078
       7.995      395.900    30809.250    30834.078
       8.096      375.000    30809.250    30834.078
       8.197      276.500    30809.250    30834.078
       8.298      385.900    30809.250    30834.078
       8.399      415.400    30809.250    30834.078
       8.501      395.900    30809.250    30834.078
       8.602      395.900    30809.250    30834.078
       8.703      385.900    30809.250    30834.078
       8.804      415.300    30809.250    30834.078
       8.905      395.800    30809.250    30834.078
       9.006      395.900    30809.250    30834.078
       9.107      405.800    30809.250    30834.078
       9.208      177.900    30809.250    30834.078
       9.309      207.800    30809.250    30834.078
       9.410      395.800    30809.250    30834.078
       9.511      415.500    30809.250    30834.078
       9.612      395.800    30809.250    30834.078
       9.713      386.000    30809.250    30834.078
       9.814      395.900    30809.250    30834.078
       9.916      415.500    30809.250    30834.078
      10.017      376.000    30809.250    30834.078
      10.118      395.900    30809.250    30834.078
      10.219      395.800    30809.250    30834.078
      10.320      405.700    30809.250    30834.078
      10.421      395.500    30809.250    30834.078
